"...1","Date","Region_Name","Area_Code","Detached_Average_Price","Detached_Index","Detached_Monthly_Change","Detached_Annual_Change","Semi_Detached_Average_Price","Semi_Detached_Index","Semi_Detached_Monthly_Change","Semi_Detached_Annual_Change","Terraced_Average_Price","Terraced_Index","Terraced_Monthly_Change","Terraced_Annual_Change","Flat_Average_Price","Flat_Index","Flat_Monthly_Change","Flat_Annual_Change","Average_Price"
63,"1995-01-01","Brent","E09000005",157040.4317,17.36474735,NA,NA,97433.38388,16.40775357,NA,NA,80786.40608,15.85666707,NA,NA,60454.45588,17.68041608,NA,NA,98928.669385
422,"1995-02-01","Brent","E09000005",156150.4923,17.2663423,-0.566694425,NA,98697.9168,16.62070055,1.29784358,NA,81852.55766,16.06593013,1.319716563,NA,60878.74295,17.80450242,0.701829278,NA,99394.9274275
762,"1995-03-01","Brent","E09000005",155533.6408,17.19813394,-0.395036543,NA,98673.66431,16.61661644,-0.024572449,NA,81902.37676,16.07570857,0.060864429,NA,60884.66776,17.80623518,0.009732135,NA,99248.5874075
1117,"1995-04-01","Brent","E09000005",156203.2227,17.27217296,0.430506139,NA,99925.51742,16.82742814,1.268680074,NA,83077.7563,16.30641078,1.435098213,NA,61749.33809,18.05911532,1.420177471,NA,100238.9586275
1485,"1995-05-01","Brent","E09000005",157759.169,17.44422174,0.996103877,NA,100915.0922,16.99407225,0.990312432,NA,83824.60146,16.45300073,0.898971269,NA,62455.7464,18.26571039,1.143993329,NA,101238.652265
1857,"1995-06-01","Brent","E09000005",158677.8282,17.54580248,0.582317416,NA,101551.7602,17.10128696,0.630894736,NA,84291.71273,16.54468481,0.557248423,NA,63277.50596,18.50604091,1.315746924,NA,101949.7017725
2196,"1995-07-01","Brent","E09000005",159043.6675,17.58625517,0.230554793,NA,101512.5256,17.09467985,-0.038635169,NA,84209.82578,16.52861213,-0.097147096,NA,62847.48926,18.3802789,-0.679572776,NA,101903.377035
2563,"1995-08-01","Brent","E09000005",159073.903,17.58959847,0.01901083,NA,100719.6218,16.96115508,-0.781089619,NA,83678.64644,16.42435283,-0.63078072,NA,62174.21899,18.18337532,-1.071276315,NA,101411.5975575
2925,"1995-09-01","Brent","E09000005",160606.0282,17.75901323,0.963153089,NA,101209.7599,17.04369419,0.486636167,NA,84153.28322,16.51751402,0.567213749,NA,62065.26574,18.15151102,-0.175238639,NA,102008.584265
3290,"1995-10-01","Brent","E09000005",159628.02,17.65086996,-0.608948643,NA,100606.976,16.94218557,-0.59557875,NA,83157.08052,16.32198045,-1.183795413,NA,61820.27306,18.07986085,-0.394733948,NA,101303.087395
3629,"1995-11-01","Brent","E09000005",158077.6172,17.47943415,-0.97125982,NA,99878.56185,16.81952083,-0.724019568,NA,82235.50845,16.14109529,-1.108230425,NA,61756.1161,18.0610976,-0.103779805,NA,100486.9509
3989,"1995-12-01","Brent","E09000005",156904.2494,17.34968899,-0.742273206,NA,99707.28306,16.79067753,-0.17148704,NA,81778.36914,16.05136849,-0.555890415,NA,61585.01528,18.01105772,-0.277058904,NA,99993.72922
4347,"1996-01-01","Brent","E09000005",157295.9522,17.39300154,0.249644498,0.16271002,99969.19087,16.83478273,0.262676714,2.602605893,82231.07191,16.14022449,0.553572748,1.788253609,61823.04137,18.08067046,0.38650001,2.263828978,100329.8140875
4717,"1996-02-01","Brent","E09000005",157202.0369,17.38261685,-0.059706097,0.67341742,100383.8271,16.90460735,0.414763967,1.708151813,82663.64371,16.22512921,0.526044226,0.990911059,62013.01614,18.13623019,0.307287964,1.86316788,100565.6309625
5081,"1996-03-01","Brent","E09000005",156896.8029,17.3488656,-0.194166711,0.876441965,99991.2509,16.83849764,-0.391075107,1.335297113,82300.85823,16.15392208,-0.438869454,0.486532245,61738.21118,18.05586116,-0.443140771,1.401902082,100231.7808025
5419,"1996-04-01","Brent","E09000005",155160.7002,17.15689603,-1.106525203,-0.66741417,99080.00461,16.68504403,-0.911326016,-0.846143039,81784.1708,16.05250724,-0.627803212,-1.557078045,61696.13695,18.04355619,-0.068149421,-0.086156621,99430.25314
5778,"1996-05-01","Brent","E09000005",156630.1199,17.31937713,0.94703084,-0.71567892,99824.61681,16.8104365,0.751526206,-1.080587064,82789.13103,16.24975973,1.228795527,-1.235282261,62068.56528,18.152476,0.603649354,-0.619928736,100328.108255
6132,"1996-06-01","Brent","E09000005",157033.9714,17.36403301,0.25783768,-1.035971305,100291.3629,16.88903641,0.467566111,-1.241137874,83432.2631,16.37599298,0.776831527,-1.019613439,62624.36562,18.31502451,0.895461873,-1.032184081,100845.490755
6505,"1996-07-01","Brent","E09000005",162308.9653,17.94731551,3.359141885,2.053082561,103478.4251,17.42573675,3.177803236,1.936607823,85909.33976,16.86219087,2.968967362,2.018189641,63978.93973,18.71118114,2.163014501,1.800311329,103918.9174725
6843,"1996-08-01","Brent","E09000005",166294.5,18.38801605,2.455523444,4.539146169,105542.7026,17.77336049,1.994886895,4.788620894,87407.52331,17.15625269,1.743912305,4.456186892,64970.91816,19.00129361,1.550476511,4.49816534,106053.9110175
7215,"1996-09-01","Brent","E09000005",171168.1178,18.92691639,2.930714971,6.576396719,107931.7586,18.17567683,2.263591831,6.641650714,89438.1252,17.554817,2.323143151,6.280018765,66342.57096,19.40244505,2.111179647,6.891624767,108720.14314
7573,"1996-10-01","Brent","E09000005",170195.0005,18.81931394,-0.568515487,6.619752937,107027.2008,18.02334956,-0.838083062,6.381490655,88617.31519,17.39370931,-0.917740622,6.566169283,65754.79429,19.2305448,-0.885972107,6.364451384,107898.577695
7946,"1996-11-01","Brent","E09000005",169339.9427,18.72476591,-0.502398923,7.124554198,106750.2138,17.97670503,-0.258800546,6.88000694,88527.83175,17.3761456,-0.100977378,7.651589224,65843.77491,19.25656794,0.135321884,6.61903479,107615.44079
8291,"1996-12-01","Brent","E09000005",169441.5317,18.73599911,0.059991141,7.99040327,107374.7028,18.08186879,0.585000194,7.68992946,88937.05405,17.4564673,0.462252701,8.753763349,66099.54151,19.33136904,0.388444607,7.330559553,107963.207515
8663,"1997-01-01","Brent","E09000005",172151.8147,19.03568868,1.599538796,9.444529419,109370.2155,18.41791256,1.858457045,9.403921914,90738.12472,17.80997948,2.025107191,10.34530211,67126.15447,19.63161067,1.553131745,8.577890987,109846.5773475
8996,"1997-02-01","Brent","E09000005",176013.9414,19.46274338,2.243442338,11.96670528,111401.3167,18.75994941,1.857088068,10.97536327,92304.55062,18.11743583,1.726315043,11.66281388,68489.33392,20.03028401,2.030772444,10.44348135,112052.28566
9349,"1997-03-01","Brent","E09000005",178847.7962,19.7760969,1.610017227,13.99072056,112908.04,19.01368118,1.352518382,12.91791934,93743.69758,18.39991002,1.559128936,13.90366953,69244.20906,20.25105362,1.102179136,12.15778323,113685.93571
9731,"1997-04-01","Brent","E09000005",179758.7719,19.87682805,0.509358076,15.85328732,113568.7009,19.12493627,0.58513181,14.62322931,94259.05525,18.50106386,0.549751811,15.2534217,69605.02654,20.35657774,0.521079645,12.81910017,114297.8886475
10069,"1997-05-01","Brent","E09000005",179878.546,19.89007208,0.066630505,14.84288343,114010.7656,19.19937984,0.389248705,14.2110726,94451.6386,18.53886391,0.204312835,14.08700324,69237.95683,20.2492251,-0.527360927,11.55076087,114394.7267575
10449,"1997-06-01","Brent","E09000005",183644.1864,20.3064578,2.093434961,16.9455149,116002.6489,19.53481241,1.747101037,15.66564209,95851.26974,18.81358197,1.481849503,14.88513697,69931.20877,20.45197248,1.001259963,11.66773201,116357.3284525
10796,"1997-07-01","Brent","E09000005",192589.3178,21.2955658,4.870903655,18.65599503,121346.9769,20.43479569,4.607074115,17.2679008,100423.9683,19.71110622,4.770618676,16.89528588,72839.70855,21.3025878,4.159086948,13.8495087,121799.9928875
11150,"1997-08-01","Brent","E09000005",198921.7679,21.99577654,3.288058848,19.62017259,124950.4852,21.04162545,2.96959055,18.38855945,103345.3858,20.28451884,2.909083895,18.23397105,74851.29215,21.89089241,2.761657952,15.20737935,125517.2327625
11520,"1997-09-01","Brent","E09000005",202095.1649,22.34667494,1.595299027,18.06822878,126817.9474,21.35610554,1.494561781,17.49826841,104801.5296,20.57032915,1.409007105,17.17769061,75925.76188,22.20513015,1.435472516,14.44500986,127410.100945
11867,"1997-10-01","Brent","E09000005",204024.4902,22.56001011,0.954661765,19.87689976,127924.5125,21.54245078,0.872561884,19.52523425,105392.0716,20.68624008,0.563486011,18.92943423,76614.69803,22.40661535,0.907381287,16.5157596,128488.9430825
12240,"1997-11-01","Brent","E09000005",206224.0173,22.80322284,1.078070158,21.7810837,129130.8794,21.74560261,0.943030266,20.96545264,106182.6676,20.84141739,0.750147499,19.9426954,77054.40408,22.5352111,0.573918662,17.02610336,129647.992095
12581,"1997-12-01","Brent","E09000005",208181.1416,23.01963188,0.949028276,22.86311363,130797.5094,22.02626263,1.290651805,21.81408282,107453.0812,21.09077277,1.19644157,20.81924942,78009.75903,22.81461272,1.239844703,18.01860838,131110.3728075
12945,"1998-01-01","Brent","E09000005",208281.2155,23.03069755,0.048070593,20.98694159,130376.5998,21.95538157,-0.321802461,19.20667721,107361.5142,21.0728001,-0.085215789,18.32018183,77624.47183,22.70193222,-0.493896161,15.63968239,130910.9503325
13319,"1998-02-01","Brent","E09000005",209376.795,23.15184127,0.526009761,18.95466539,131856.9495,22.20467203,1.135441248,18.36211036,108752.962,21.34591195,1.296039648,17.81971877,79132.42948,23.14294717,1.942631775,15.53978548,132279.783995
13662,"1998-03-01","Brent","E09000005",210622.7529,23.28961307,0.595079262,17.76647933,132838.3003,22.36993122,0.744254135,17.65176354,109896.3203,21.57032906,1.051335336,17.23062255,79966.79132,23.38696334,1.05438673,15.48516821,133331.041205
14030,"1998-04-01","Brent","E09000005",213424.6574,23.59943369,1.330295276,18.7283687,135457.756,22.81104681,1.971913048,19.27384481,111960.0869,21.97540292,1.877921533,18.77913123,81365.0616,23.79589929,1.748563696,16.8953819,135551.890475
14383,"1998-05-01","Brent","E09000005",218699.7732,24.18272968,2.47165245,21.5819107,138799.4217,23.37378233,2.466942994,21.74238192,115101.6166,22.59201891,2.805937155,21.86301722,82936.54742,24.25549358,1.931401259,19.784799,138884.33973
14719,"1998-06-01","Brent","E09000005",221420.9143,24.48361988,1.244235899,20.57060919,140378.3319,23.63967035,1.137548121,21.01304002,116530.0343,22.87238716,1.241005712,21.57380342,84104.07511,24.59694691,1.407736064,20.26686881,140608.3389025
15107,"1998-07-01","Brent","E09000005",225332.0112,24.91608946,1.766362923,17.00130298,142741.8683,24.0376892,1.683690345,17.63116972,118313.8725,23.22251698,1.530797023,17.81437692,85253.64432,24.93314814,1.366841268,17.04281362,142910.34908
15465,"1998-08-01","Brent","E09000005",227734.3944,25.18173301,1.066152647,14.484401,143317.3438,24.13459911,0.403158169,14.69930953,118561.7506,23.27117022,0.209508897,14.72379702,85460.17323,24.99354926,0.2422523,14.17327714,143768.4155075
