"...1","Date","Region_Name","Area_Code","Detached_Average_Price","Detached_Index","Detached_Monthly_Change","Detached_Annual_Change","Semi_Detached_Average_Price","Semi_Detached_Index","Semi_Detached_Monthly_Change","Semi_Detached_Annual_Change","Terraced_Average_Price","Terraced_Index","Terraced_Monthly_Change","Terraced_Annual_Change","Flat_Average_Price","Flat_Index","Flat_Monthly_Change","Flat_Annual_Change","Average_Price"
55,"1995-01-01","Croydon","E09000008",150019.3764,25.39290924,NA,NA,88991.72162,23.50370414,NA,NA,63741.05414,22.84068704,NA,NA,55792.36651,25.99927829,NA,NA,89636.1296675
408,"1995-02-01","Croydon","E09000008",147328.4626,24.93743386,-1.793710884,NA,88921.53478,23.48516702,-0.078868956,NA,63818.93348,22.86859398,0.122180827,NA,55389.6542,25.8116141,-0.721805399,NA,88864.646265
779,"1995-03-01","Croydon","E09000008",146329.2188,24.76829767,-0.678242174,NA,88565.22252,23.39106098,-0.400704126,NA,63683.5996,22.82009903,-0.212059142,NA,55186.75325,25.71706212,-0.366315607,NA,88441.1985425
1123,"1995-04-01","Croydon","E09000008",145097.2172,24.5597639,-0.841938227,NA,88470.11312,23.36594153,-0.107389112,NA,63689.51788,22.82221976,0.009293264,NA,55174.19127,25.71120823,-0.02276267,NA,88107.7598675
1496,"1995-05-01","Croydon","E09000008",145694.6819,24.66089329,0.411768568,NA,88798.72724,23.45273218,0.371440837,NA,63854.46474,22.88132609,0.25898587,NA,55489.29134,25.85804506,0.571100465,NA,88459.291305
1856,"1995-06-01","Croydon","E09000008",146114.1836,24.73189991,0.287932058,NA,89202.63427,23.55940852,0.454856777,NA,63933.50926,22.90965055,0.123788555,NA,55923.26077,26.06027509,0.782077802,NA,88793.396975
2193,"1995-07-01","Croydon","E09000008",146723.178,24.83498086,0.416793512,NA,89379.61146,23.60615017,0.198399063,NA,64017.56985,22.93977245,0.131481273,NA,55651.22189,25.9335048,-0.486450319,NA,88942.8953
2561,"1995-08-01","Croydon","E09000008",147358.6312,24.94254034,0.43309667,NA,89117.97854,23.53705,-0.292721037,NA,63852.30446,22.88055199,-0.258156289,NA,55230.67872,25.73753142,-0.755676436,NA,88889.89823
2912,"1995-09-01","Croydon","E09000008",148783.4542,25.18371186,0.966908421,NA,89583.06884,23.65988553,0.52188157,NA,64252.48622,23.02395134,0.62673032,NA,55186.09541,25.71675557,-0.080721996,NA,89451.2761675
3295,"1995-10-01","Croydon","E09000008",148065.4019,25.06217131,-0.482615735,NA,89166.11117,23.54976236,-0.465442496,NA,63665.49066,22.81360995,-0.913576407,NA,55070.48284,25.66288004,-0.209495839,NA,88991.8716425
3648,"1995-11-01","Croydon","E09000008",147825.2749,25.02152641,-0.16217627,NA,89241.34109,23.56963142,0.08437053,NA,63472.3936,22.74441641,-0.303299409,NA,55458.68101,25.84378063,0.704911512,NA,88999.42265
3988,"1995-12-01","Croydon","E09000008",146372.3088,24.77559126,-0.982894272,NA,88741.75676,23.43768564,-0.559812668,NA,63011.13816,22.57913218,-0.726702466,NA,55242.86102,25.74320838,-0.389154569,NA,88342.016185
