"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index All property types","Average price All property types","Percentage_change_All_property_types","Percentage change (yearly) All property types","House price index Detached houses","Average price Detached houses","Percentage change (monthly) Detached houses","Percentage change (yearly) Detached houses","House price index Semi-detached houses","Average price Semi-detached houses","Percentage change (monthly) Semi-detached houses","Percentage change (yearly) Semi-detached houses","House price index Terraced houses","Average price Terraced houses","Percentage change (monthly) Terraced houses","Percentage change (yearly) Terraced houses","House price index Flats and maisonettes","Average price Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Date"
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-01,11333,monthly,32.37,130411,1.95,23.38,37.79,280980,5.89,24.03,35.05,165413,3.94,22.79,31.26,127833,2.49,23.73,31.92,115506,0.38,23.28,2000-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-02,11414,monthly,32.94,132705,1.76,26.06,37.63,279796,-0.42,24.08,35.05,165391,-0.01,23.24,31.72,129708,1.47,26.12,32.79,118641,2.71,27.08,2000-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-03,14645,monthly,33.33,134286,1.19,25.04,38.28,284608,1.72,25.02,35.69,168433,1.84,23.84,32.27,131957,1.73,25.58,32.98,119340,0.59,24.98,2000-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-04,12667,monthly,34.92,140670,4.75,28.32,39.54,293946,3.28,26.41,36.92,174235,3.44,25.61,33.42,136659,3.56,26.36,34.99,126608,6.09,30.69,2000-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-05,13099,monthly,34.97,140862,0.14,26.66,40.04,297670,1.27,28.16,37.46,176792,1.47,26.46,33.6,137401,0.54,25.79,34.77,125794,-0.64,27.02,2000-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-06,14270,monthly,35.63,143542,1.9,26.67,40.19,298774,0.37,24.31,37.94,179057,1.28,24.91,34.13,139575,1.58,25.02,35.62,128870,2.44,28.54,2000-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-07,13278,monthly,36.3,146228,1.87,24.95,42.1,313017,4.77,25.48,38.86,183384,2.42,24.53,34.89,142702,2.24,23.6,36.05,130434,1.21,25.9,2000-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-08,12690,monthly,36.56,147284,0.72,23.4,41.95,311885,-0.36,23.63,39.05,184296,0.5,23.21,34.8,142302,-0.28,20.87,36.61,132453,1.55,25.04,2000-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-09,11521,monthly,36.57,147316,0.02,20.15,42.34,314775,0.93,20.91,38.85,183347,-0.52,20.21,34.88,142656,0.25,19.22,36.59,132409,-0.03,20.42,2000-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-10,11068,monthly,36.15,145626,-1.15,18.39,42.34,314817,0.01,20.29,39.14,184698,0.74,19.25,34.49,141042,-1.13,17.65,35.92,129962,-1.85,18.29,2000-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-11,11301,monthly,36.66,147666,1.4,17.39,42.26,314211,-0.19,17.61,38.72,182742,-1.06,15.62,34.65,141687,0.46,14.89,36.98,133810,2.96,19.49,2000-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2000-12,11983,monthly,36.61,147483,-0.12,15.3,41.37,307562,-2.12,15.91,38.68,182542,-0.11,14.7,34.72,141993,0.22,13.84,36.92,133575,-0.18,16.08,2000-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-01,10315,monthly,37.12,149543,1.4,14.67,42.19,313677,1.99,11.64,39.28,185344,1.54,12.05,35.4,144786,1.97,13.26,37.26,134820,0.93,16.72,2001-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-02,9963,monthly,37.18,149776,0.16,12.86,42.62,316859,1.01,13.25,39.67,187191,1.0,13.18,35.56,145438,0.45,12.13,37.1,134244,-0.43,13.15,2001-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-03,12882,monthly,37.47,150941,0.78,12.4,42.04,312590,-1.35,9.83,39.54,186613,-0.31,10.79,35.74,146149,0.49,10.76,37.68,136351,1.57,14.25,2001-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2001-04,12330,monthly,37.95,152865,1.27,8.67,42.71,317568,1.59,8.04,39.83,187982,0.73,7.89,36.31,148477,1.59,8.65,38.14,137996,1.21,8.99,2001-04-01
